Event,Time
Ignition,2016-11-10-13:16:00
Window K Open,2016-11-10-13:26:00
Window A Open,2016-11-10-13:30:59
Front Door Open,2016-11-10-13:35:59
Burner Off,2016-11-10-13:41:00
