Event,Time
Ignition,2016-11-09-08:59:00
Front Door Open,2016-11-09-09:09:03
Window K Open,2016-11-09-09:14:02
Window L Open,2016-11-09-09:19:02
Burner Off,2016-11-09-09:24:03
