Event,Time
Ignition,2016-11-10-10:05:59
Front Door Open,2016-11-10-10:15:59
Window B Open,2016-11-10-10:21:00
Burner Off,2016-11-10-10:25:59
Window K Open,2016-11-10-10:27:00
Window L Open,2016-11-10-10:27:59
