Event,Time
Ignition,2016-11-09-15:52:58
Front Door Open,2016-11-09-16:02:59
Window K Open,2016-11-09-16:07:59
Window L Open,2016-11-09-16:13:01
Burner Off,2016-11-09-16:18:01
