Event,Time
Ignition,2016-11-09-13:38:00
Front Door Open,2016-11-09-13:47:58
Window K Open,2016-11-09-13:52:58
Window L Open,2016-11-09-13:58:01
Burner Off,2016-11-09-14:03:01
