Event,Time
Ignition,2016-11-10-15:01:59
Front Door Open,2016-11-10-15:12:00
Window K Open,2016-11-10-15:17:00
Window L Open,2016-11-10-15:22:00
Burner Off,2016-11-10-15:27:00
