Event,Time
Ignition,2016-10-18-15:46:01
Front Door Open,2016-10-18-15:51:00
Window E Open,2016-10-18-15:56:01
Burner Off,2016-10-18-16:01:01
Window F Open,2016-10-18-16:06:00
Window D Open,2016-10-18-16:06:17
Window C Open,2016-10-18-16:06:31
Window B Open,2016-10-18-16:06:45
Window A Open,2016-10-18-16:07:00
Back Door Open,2016-10-18-16:07:16
Window G Open,2016-10-18-16:07:36
