Event,Time
Ignition,2016-10-18-13:35:01
Window E Open,2016-10-18-13:45:00
Window C Open,2016-10-18-13:50:00
Front Door Open,2016-10-18-13:55:00
Burner Off,2016-10-18-14:00:00
