Event,Time
Ignition,2016-10-19-07:31:23
Front Door Open,2016-10-19-07:36:24
Window E Open,2016-10-19-07:41:24
Burner Off,2016-10-19-07:46:24
Window F Open,2016-10-19-07:51:24
Window G Open,2016-10-19-07:52:54
