Channel_Name,Output,Type,Channel_Label,Group
Front Door Velocity 1.71 m Above Floor,Front Door,Velocity,1.71 m Above Floor,Front_Door_Velocity
Front Door Temperature 1.37 m Above Floor,Front Door,Temperature,1.37 m Above Floor,Front_Door_Temperature
Front Door Velocity 1.37 m Above Floor,Front Door,Velocity,1.37 m Above Floor,Front_Door_Velocity
Front Door Temperature 1.03 m Above Floor,Front Door,Temperature,1.03 m Above Floor,Front_Door_Temperature
Front Door Velocity 1.03 m Above Floor,Front Door,Velocity,1.03 m Above Floor,Front_Door_Velocity
Front Door Temperature 0.68 m Above Floor,Front Door,Temperature,0.68 m Above Floor,Front_Door_Temperature
Front Door Velocity 0.68 m Above Floor,Front Door,Velocity,0.68 m Above Floor,Front_Door_Velocity
Front Door Temperature 0.34 m Above Floor,Front Door,Temperature,0.34 m Above Floor,Front_Door_Temperature
Front Door Velocity 0.34 m Above Floor,Front Door,Velocity,0.34 m Above Floor,Front_Door_Velocity
Dining Room Pressure 0.3 m Below Ceiling,Dining Room,Pressure,0.3 m Below Ceiling,Dining_Room_Pressure
Dining Room Pressure 1.2 m Below Ceiling,Dining Room,Pressure,1.2 m Below Ceiling,Dining_Room_Pressure
Dining Room Pressure 2.1 m Below Ceiling,Dining Room,Pressure,2.1 m Below Ceiling,Dining_Room_Pressure
Kitchen Temperature 0.02 m Below Ceiling,Kitchen,Temperature,0.02 m Below Ceiling,Kitchen_Temperature
Kitchen Temperature 0.3 m Below Ceiling,Kitchen,Temperature,0.3 m Below Ceiling,Kitchen_Temperature
Kitchen Temperature 0.6 m Below Ceiling,Kitchen,Temperature,0.6 m Below Ceiling,Kitchen_Temperature
Kitchen Temperature 0.9 m Below Ceiling,Kitchen,Temperature,0.9 m Below Ceiling,Kitchen_Temperature
Kitchen Temperature 1.2 m Below Ceiling,Kitchen,Temperature,1.2 m Below Ceiling,Kitchen_Temperature
Kitchen Temperature 1.5 m Below Ceiling,Kitchen,Temperature,1.5 m Below Ceiling,Kitchen_Temperature
Kitchen Temperature 1.8 m Below Ceiling,Kitchen,Temperature,1.8 m Below Ceiling,Kitchen_Temperature
Kitchen Temperature 2.1 m Below Ceiling,Kitchen,Temperature,2.1 m Below Ceiling,Kitchen_Temperature
Window A Temperature 0.85 m Above Sill,Window A,Temperature,0.85 m Above Sill,Window_A_Temperature
Window A Velocity 0.85 m Above Sill,Window A,Velocity,0.85 m Above Sill,Window_A_Velocity
Window A Temperature 0.68 m Above Sill,Window A,Temperature,0.68 m Above Sill,Window_A_Temperature
Window A Velocity 0.68 m Above Sill,Window A,Velocity,0.68 m Above Sill,Window_A_Velocity
Window A Temperature 0.51 m Above Sill,Window A,Temperature,0.51 m Above Sill,Window_A_Temperature
Window A Velocity 0.51 m Above Sill,Window A,Velocity,0.51 m Above Sill,Window_A_Velocity
Window A Temperature 0.34 m Above Sill,Window A,Temperature,0.34 m Above Sill,Window_A_Temperature
Window A Velocity 0.34 m Above Sill,Window A,Velocity,0.34 m Above Sill,Window_A_Velocity
Window A Temperature 0.17 m Above Sill,Window A,Temperature,0.17 m Above Sill,Window_A_Temperature
Window A Velocity 0.17 m Above Sill,Window A,Velocity,0.17 m Above Sill,Window_A_Velocity
Breakfast Area Temperature 0.02 m Below Ceiling,Breakfast Area,Temperature,0.02 m Below Ceiling,Breakfast_Area_Temperature
Breakfast Area Temperature 0.3 m Below Ceiling,Breakfast Area,Temperature,0.3 m Below Ceiling,Breakfast_Area_Temperature
Breakfast Area Temperature 0.6 m Below Ceiling,Breakfast Area,Temperature,0.6 m Below Ceiling,Breakfast_Area_Temperature
Breakfast Area Temperature 0.9 m Below Ceiling,Breakfast Area,Temperature,0.9 m Below Ceiling,Breakfast_Area_Temperature
Breakfast Area Temperature 1.2 m Below Ceiling,Breakfast Area,Temperature,1.2 m Below Ceiling,Breakfast_Area_Temperature
Breakfast Area Temperature 1.5 m Below Ceiling,Breakfast Area,Temperature,1.5 m Below Ceiling,Breakfast_Area_Temperature
Breakfast Area Temperature 1.8 m Below Ceiling,Breakfast Area,Temperature,1.8 m Below Ceiling,Breakfast_Area_Temperature
Breakfast Area Temperature 2.1 m Below Ceiling,Breakfast Area,Temperature,2.1 m Below Ceiling,Breakfast_Area_Temperature
Dining Room Temperature 0.02 m Below Ceiling,Dining Room,Temperature,0.02 m Below Ceiling,Dining_Room_Temperature
Dining Room Temperature 0.3 m Below Ceiling,Dining Room,Temperature,0.3 m Below Ceiling,Dining_Room_Temperature
Dining Room Temperature 0.6 m Below Ceiling,Dining Room,Temperature,0.6 m Below Ceiling,Dining_Room_Temperature
Dining Room Temperature 0.9 m Below Ceiling,Dining Room,Temperature,0.9 m Below Ceiling,Dining_Room_Temperature
Dining Room Temperature 1.2 m Below Ceiling,Dining Room,Temperature,1.2 m Below Ceiling,Dining_Room_Temperature
Dining Room Temperature 1.5 m Below Ceiling,Dining Room,Temperature,1.5 m Below Ceiling,Dining_Room_Temperature
Dining Room Temperature 1.8 m Below Ceiling,Dining Room,Temperature,1.8 m Below Ceiling,Dining_Room_Temperature
Dining Room Temperature 2.1 m Below Ceiling,Dining Room,Temperature,2.1 m Below Ceiling,Dining_Room_Temperature
